,Station Names,Station Codes,Latitude,Longitude,Pincode
285,ANUGRAHA N ROAD,AUBR,,,831007
286,ANUPALEM,ANPM,16.4684° N,79.9626° E,522412
287,ANUPGANJ,APG,22.4296° N,87.6760° E,226501
288,ANUPGARH,APH,29.1812° N,73.1999° E,335701
289,ANUPPAMBATTU,APB,13.3042° N,80.2309° E,601203
290,ANUPPUR JN,APR,23.1178° N,81.6965° E,484224
291,ANUPSHAHR,AUS,28.3541° N,78.2675° E,335501
292,AONLA,AO,28.2699° N,79.1605° E,243301
293,APPIKATLA,APL,15.9729° N,80.5091° E,522310
294,APTA,APTA,18.8516° N,73.1305° E,410207
295,ARA JN,ARA,25.5488° N,84.6614° E,802301
296,ARAG,ARAG,16.7858° N,74.8010° E,416401
297,ARAKKONAM JN,AJJ,13.0824° N,79.6685° E,631001
298,ARAKKU,ARK,18.3273° N,82.8775° E,531151
299,ARALAGUPPE,ARGP,13.2516° N,76.6146° E,572212
300,ARALVAYMOZHI,AAY,8.2509° N,77.5227° E,627105
301,ARAMBAKKAM,AKM,13.5427° N,80.0690° E,600024
302,ARAND,ARN,17.5676° N,76.5662° E,493445
303,ARANG MAHANADI,ANMD,21.1895° N,81.9554° E,493441
304,ARANGHATA,AG,23.2426° N,88.6114° E,741201
305,ARANTANGI,ATQ,10.1692° N,79.0023° E,614616
306,ARAON,AON,27.1522° N,78.7065° E,283151
307,ARARIYA,ARR,26.1311° N,87.4455° E,0
308,ARARIYA COURT,ARQ,26.1149° N,87.4474° E,854312
309,ARASALU,ARU,13.9984° N,75.3091° E,577426
310,ARAUL MAKANPUR,ARL,26.9205° N,80.0188° E,209202
311,ARAVALI ROAD,AVRD,17.3166° N,73.5382° E,415608
312,ARAVALLI,AVLI,25.2235° N,73.7478° E,534230
313,ARAVANKADU,AVK,11.3683° N,76.7712° E,643202
314,ARELI,ARX,,,365601
315,AREPALLI HALT,ARPL,,,509131
316,ARGORA,AOR,23.3504° N,85.2954° E,834002
317,ARGUL,ARGL,18.7327° N,78.2747° E,752050
318,ARIGADA,ARGD,23.6445° N,85.4681° E,829101
319,ARIYALUR,ALU,11.1401° N,79.0786° E,621713
320,ARJANSAR,AS,28.9247° N,73.8595° E,334604
321,ARJUNAHALLI,ARNH,12.5388° N,76.3956° E,571601
322,ARJUNI,AJU,20.8179° N,80.0395° E,441701
323,ARMUR,ARMU,18.7900° N,78.2881° E,503224
324,ARNEJ,AEJ,22.5825° N,72.2667° E,382240
325,ARNETHA,ARE,25.3835° N,75.9986° E,323301
326,ARNI ROAD,ARV,20.3790° N,78.1112° E,606903
327,ARNIA,ARNA,32.5192° N,74.7995° E,303325
328,ARSENI,ASI,,,241126
329,ARSIKERE JN,ASK,,,573103
330,ARTS COLLEGE,ATC,,,500007
331,ARUMUGANERI,ANY,8.5681° N,78.0937° E,628202
332,ARUNACHAL,ARCL,28.2180° N,94.7278° E,788025
333,ARUPPUKKOTTAI,APK,9.5156° N,78.1000° E,626101
334,ARVI,ARVI,21.0010° N,78.2307° E,442201
335,ARYANKAVU,AYV,8.9751° N,77.1494° E,691309
336,ASAFPUR,AFR,27.8986° N,79.4212° E,243632
337,ASAKALATTUR,ACT,11.5877° N,79.0553° E,606304
338,ASALPUR JOBNER,JOB,26.9006° N,75.4241° E,303338
339,ASAN,ASAN,28.9018° N,76.7697° E,277304
340,ASANBONI,ASB,22.7049° N,86.3217° E,832102
341,ASANGAON,ASO,19.4392° N,73.2998° E,421601
342,ASANSOL JN,ASN,23.6907° N,86.9759° E,713301
343,ASAOTI,AST,28.2518° N,77.3241° E,121102
344,ASARMA,ASM,22.3499° N,73.0376° E,382345
345,ASARVA JN,ASV,,,382345
346,ASAUDAH,ASE,28.7516° N,76.8707° E,124505
347,ASHAPURA GOMAT,AQG,26.9506° N,71.8928° E,345021
348,ASHOK NAGAR,ASKN,24.5775° N,77.7318° E,743233
349,ASHOK NAGAR RD,ASKR,22.8265° N,88.6286° E,743233
350,ASHOKAPURAM,AP,12.2864° N,76.6398° E,570008
351,ASHTEGAON,ASTG,,,444905
352,ASHTI,AHI,18.8044° N,75.1680° E,414203
353,ASIFABAD ROAD,ASAF,19.2571° N,79.4166° E,504292
354,ASIRGARH ROAD,AGQ,21.3781° N,76.2675° E,450331
355,ASLANA,ANA,23.9350° N,79.3142° E,470661
356,ASLAODA,ASL,23.2308° N,75.6080° E,456337
357,ASLU,ASLU,28.3587° N,75.0859° E,331001
358,ASNOTI,AT,14.8811° N,74.1508° E,581317
359,ASOKHAR,AXK,26.5523° N,78.5973° E,477660
360,ASPARI,ASP,15.4757° N,77.3884° E,518395
361,ASRANADA,AAS,26.3974° N,73.3058° E,0
362,ASTHAL BOHAR,ABO,28.8957° N,76.6514° E,124001
363,ASVALI,AV,20.0926° N,72.7954° E,422403
364,ASWANI HALT,AWS,,,0
365,ASWAPURAM,AWM,17.8291° N,80.8295° E,507116
366,ATA,ATA,,,802301
367,ATAMANDA,AMA,28.5644° N,79.4636° E,243203
368,ATARI,ATT,31.5978° N,74.6020° E,143108
369,ATARIA,AA,31.5978° N,74.6020° E,143108
370,ATARRA,ATE,25.2867° N,80.5744° E,210201
371,ATELI,AEL,28.1056° N,76.2801° E,123021
372,ATGAON,ATG,19.5042° N,73.3252° E,421601
373,ATHMAL GOLA,ATL,25.4529° N,85.5898° E,803211
374,ATHSARAI,ASCE,25.6790° N,81.2624° E,212217
375,ATIRAMPATTINAM,AMM,10.3413° N,79.3796° E,614701
376,ATLADARA,ATDA,22.2669° N,73.1492° E,390012
377,ATRAMPUR,ARP,25.5579° N,81.7336° E,212412
378,ATRAULI ROAD,AUR,28.0958° N,78.2192° E,202282
379,ATRAURA,ATRR,25.4326° N,82.1292° E,221309
380,ATRU,ATRU,24.8768° N,76.6701° E,325218
381,ATTABIRA,ATS,21.3690° N,83.7757° E,768027
382,ATTAR,ATR,22.0088° N,76.2059° E,143108
383,ATTILI,AL,16.6885° N,81.6037° E,534134
384,ATTIPPATTU,AIP,13.2488° N,80.3046° E,600120
385,ATTUR,ATU,11.5983° N,78.5974° E,636102
386,ATUL,ATUL,20.5370° N,72.9414° E,396020
387,ATWA KURSATH,ATKS,,,241305
388,AUJARI,AJRE,26.1449° N,92.2670° E,782410
389,AULENDA,AED,27.0307° N,77.6178° E,283110
390,AUNG,AUNG,,,212665
391,AUNLAJORI JN,OND,,,757042
392,AUNRIHAR JN,ARJ,,,233221
393,AUNTA HALT,ANAH,,,803303
394,AURAHI,AUI,26.0581° N,86.7467° E,854202
395,AURANG NAGAR,AUN,19.8762° N,75.3433° E,127032
396,AURANGABAD,AWB,19.8762° N,75.3433° E,431005
397,AUSA ROAD,OSA,,,413531
398,AUVANESWSAREM,AVS,,,0
399,AUWA,AUWA,25.6297° N,73.6374° E,306021
400,AVADI,AVD,13.1067° N,80.0970° E,600054
401,AVATIHALLI,AVT,12.9457° N,77.5440° E,562110
402,AVIDHA,AVH,21.7658° N,73.1873° E,393017
403,AVULADATLA,ALAT,14.7022° N,76.9701° E,515867
404,AWA GARH,AWG,27.4426° N,78.4837° E,207301
405,AWANTIPURA,ATPA,33.9218° N,75.0139° E,192305
406,AWAPUR,AWPR,26.5149° N,85.6609° E,843314
407,AWATARNAGAR,ATNR,25.7646° N,84.9572° E,841225
408,AYANDUR,AYD,11.9678° N,79.3381° E,605755
409,AYINGUDI,AYI,10.2388° N,78.8170° E,614801
410,AYODHYA,AY,26.7922° N,82.1998° E,224123
411,AYODHYAPATTANAM,APN,11.6743° N,78.2350° E,636103
412,AYYALUR,AYR,10.4844° N,78.1551° E,624801
413,AYYAMPET,AZP,10.8963° N,79.1944° E,614211
414,AZAMGARH,AMH,26.0739° N,83.1859° E,276001
415,AZAMNAGAR ROAD,AZR,25.5560° N,87.8525° E,855113
416,AZARA,AZA,26.1239° N,91.6173° E,781017
417,AZHWARKURICHI,AZK,8.7815° N,77.3942° E,627424
418,AZIMGANJ CITY,ACLE,24.2351° N,88.2607° E,742104
419,AZIMGANJ JN,AZ,,,742104
420,B CEMENT NAGAR,BEY,,,518176
421,B L DASPURI,BBLK,27.3163° N,79.3630° E,209652
422,B.G.NAGAR,BGNR,12.9634° N,76.7249° E,571418
423,BABA BAKALARAYA,BBKR,,,143112
424,BABA SODHALNAGR,BBSL,,,0
425,BABAGANJ,BBJ,27.9659° N,81.5638° E,271881
426,BABARPUR,BBDE,28.6849° N,77.2824° E,132103
427,BABATPUR,BTP,25.4507° N,82.8560° E,221006
428,BABHNAN,BV,26.9332° N,82.5023° E,0
429,BABHULGOAN,BBV,18.3797° N,76.6319° E,431512
430,BABINA,BAB,25.2444° N,78.4638° E,284401
431,BABLAD,BBD,17.4945° N,76.8548° E,585103
432,BABRALA,BBA,28.2637° N,78.4037° E,202421
433,BABUGARH,BBO,28.7238° N,77.8496° E,462030
434,BABUPETH,BUPH,19.9390° N,79.3156° E,442403
435,BABUPUR,BBPR,28.5090° N,76.9974° E,261203
436,BACHAR,BCHR,21.9581° N,73.1689° E,391244
437,BACHELI,BCHL,18.6695° N,81.2684° E,494553
438,BACHHRAWAN,BCN,26.4710° N,81.1127° E,229301
439,BACHWARA JN,BCA,,,851111
440,BAD,BAD,27.4158° N,77.6708° E,281005
441,BADABANDHA,BDBA,20.2829° N,86.5136° E,754141
442,BADALPUR,BDPA,28.5983° N,77.5146° E,721423
443,BADAMI,BDM,15.9186° N,75.6761° E,587201
444,BADAMPAHAR,BMPR,22.0880° N,86.1116° E,757047
445,BADAMPUDI,BPY,16.8259° N,81.4740° E,534411
446,BADANAGUPPE,BDGP,11.9832° N,76.8779° E,571316
447,BADARPUR JN,BPB,,,788806
448,BADARWAS,BDWS,24.9769° N,77.5645° E,473885
449,BADAUSA,BUS,25.2447° N,80.6521° E,210202
450,BADDOWAL,BWZ,30.8608° N,75.7447° E,141102
451,BADE ARAPUR,BDXX,19.0104° N,81.8808° E,494442
452,BADHADA,BDHA,21.2682° N,71.3364° E,364522
453,BADHAI BALAMGRH,BDBG,,,152026
454,BADHAL,BDHL,27.2562° N,75.4402° E,303602
455,BADHARI KALAN,BHK,27.7927° N,78.7278° E,207123
456,BADHWA BARA,BDWA,23.2947° N,81.2868° E,484001
